idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
"«ALI» DESA(...), «BALI» DEMOQ",kim?,"aytishmoq, e’tiroz javobini bermoq.",,,,"gap qaytarmoq 2; «dard» desa(...), «balo» demoq; a’zoyi badan(i)dan ter chiqib",,,"«Traktorchilar o’z odamlarimiz. Yer bizniki, ekin bizniki. Ularni qanday ishlatishni o’zimizga qo’yib beringlarda». – «Ali desa, «Bali» deysan-da, Komil». Haq gap oldida odam g’iring demas ekan: «Ali» desa, «Bali» deydigan o’jar kishi churq etolmadi-ya...",S.Ahmad,Kuyov
A’ZOYI BADAN(I)DAN SOVUQ TER CHIQARIB YUBORMOQ,nima? kimning?,ruhiyatida juda keskin o’zgarish sodir bo’ldi – ruhiyatini juda keskin o’zgartirdi.,,,A’ZOYI BADAN(I)DAN SOVUQ TER CHIQIB KETDI,,,,"Institutga yetib qolganimda to’plangan yoshlar orasida birga imtihon topshirgan tanish qiz-yigitlarga ko’zim tushib, to’satdan yuragim shuv etdi-yu, a’zoyi badanimdan sovuq ter chiqib ketdi Bu fikr Sherbekning a’zoyi badanidan sovuq ter chiqarib yubordi «Ho’kuyov bola!» – «Labbay, aka!» Kuyov pildiragancha yetib keldi... Ashraf amaki yuzini chirt o’girdi. A’zoyi badanidan ter chiqib ketdi Injener sevgan xotinidan bu kutilmagan og’ir javobni eshitganidan keyin badanidan sovuq ter chiqib ketdi «Shuni aytib bering, haligi so’zlaringizga ishonmay iloj qolmaydi», – so’radi Toshpo’latov sinovchi ko’",S.Anorboyev,Oqsoy
A’ZOYI BADANIDAN O’TIB KETMOQ,kimning?,o’ta xafa bo’lmoq.,,,badanidan o’tib ketmoq,,,,"– Sarvi, baland poshna tufli olib berayinmi? Harna bo’ying cho’zilardi, – dedi hazil aralash. Erining bu gapi Sarvi xolaning a’zoyi badanidan o’tib ketdi.",S.Anorboyev,Otaning xayollari
ABJAG’(I) CHIQDI – ABJAG’(I)NI CHIQARMOQ 1,kimning? kim? kimning?,qattiq jarohatlanmoq.,,,,iyig’(i) chiqdi,,,"Bir hovuch pul uchun aqldan ozib, Butun dunyoni ham yoqishga tayyor. Bu – o’sha abjag’i chiqqan jahongir, Bu – o’sha o’limtik, jodugar ayyor. Fashistni ur, , abjag’ini chiqar, u yog’i bilan ishing bo’lmasin.",,
ABJAG’(I) CHIQDI – ABJAG’(I)NI CHIQARMOQ 1,kimning? kim? kimning?,"sifatini yo’qotib, yaroqsiz holga kelmoq.",2,,,iyig’(i) chiqdi,,,– kim? nimaning? nimaning? Aksariyat traktorlar remont qilingani yo’q. 29 mashinaning abjag’i chiqib yotibdi. Yap-yangi etikning bir yildayoq abjag’ini chiqarib yubording,,
ADAB(I) BERILDI,kimning?,qilmishiga yarasha jazolamoq.,,,ADAB(I)NI BERMOQ,jazo(si)ni bermoq,,,"Xalilovdan gunohingni so’rab oldim. Bo’lmasa adabingni berardi. . Izzatini bilmagan itvachchani tutib, adabini berdirmasam, Madumar otimni boshqa qo’yib yuboraman.",M.Ismoiliy,Farg’ona tong otguncha
ADAB(I)NI YEMOQ,kim?[o’zining],qilmishiga yarasha jazo olmoq.,,,,ta’zir(i)ni yemoq,,,Bir karra adabini yegan Edgar Gladston … endi siyosatni suv qilib ichib olgan edi.,A.Muxtor,Opa-singillar
ADAM AYLAMOQ,kim?,"yo’qotmoq, yo’q qilmoq.",,,,,,,Adam yo’lini tutay zarra menda g’am bo’lsa.,Bobur.,
ADI-BADIGA BORMOQ,kim? [kim bilan?],janjallashuv darajasiga yetmoq.,,,,«san-man»ga; bor­moq,,,"... ammo bu tashkilotlar biror vazifa topshirsa, hech adi-badiga bormas, ko’ngliga yoqmasa ham, bajarar edi. Xayriyatki, Zarofat uncha-muncha gapni ko’ngliga olmay, adi-badiga bormay, Haydarni «jonim-jonim» deb, kulib yengishga intilar edi.",M.Muhammedov,Gavhar
ADI-BADI AYTISHMOQ,kimlar? o’zaro,turli mavzuda yengil-yelpi suhbatlashmoq.,1,,"adi-badi deyishmoq; u desa (...), bu demoq, bu; desa(...), u; demoq",,,,"Ba’zi gaplarini ichimda «Nafsil amr» deb tinglar edim. Adi-badi aytishib, qizning uyiga kelganimizni ham bilmay qolibmiz.",,
ADI-BADI AYTISHMOQ,kimlar? o’zaro,"so’z talashmoq, janjallashmoq.",2,,"adi-badi deyishmoq; u desa (...), bu demoq, bu; desa(...), u; demoq",,,,"Arzimagan narsaga adi-badi aytishib o’tirmanglar, o’g’lim, uyat bo’ladi... . Mahmud aka bu bosh og’rig’i boy o’g’illari bilan adi-badi deyishib o’tirishlikni o’ziga ortiqcha bilib, ildam yurib o’tib ketdi.",N.Maqsudiy,Bola yo’qotgan kishi
ADO BO’LMOQ,kim?,"juda qiynalmoq, azoblanmoq, tugamoq.",,,,,,,"Quyosh qip-qizil cho’g’ bo’lib botayotgan cho’l oqshomida hijronzada, alamzada, farzand dog’ida kuyib ado bo’lgan onani tuproqqa qo’yishdi.",S.Ahmad,Ufq
ADOVAT URUG’INI SOCHMOQ,kim?,"ig’vo tarqatmoq, gijgijlamoq, bir-biriga tezlamoq. –",,,,,,,"So’zingizda yanglish bor, qushbegi! Agar siz nafsilamrga qarasangiz, ikki xalqni bir-biriga sovuq ko’rsatib, adovat tuxumini sochib keluvchi bir nechagina odam bor.",A.Qodiriy,O’tkan kunlar
ADOYI TAMOM BO’LMOQ,ayn.,ado bo’lmoq.,,,,,,,"O’yinchoq adoyi tamom bo’ldi. Bechora kampir bu shum xabardan adoyi tamom bo’ldi-ku! – Shu-u… shu-u… – Saidmurod adoyi tamom bo’lib, beixtiyor muzxona o’rtasida turganday qalt-qalt titray boshladi.",S.Ahmad,Oydin kechalar
ADRESI YO’Q,,"betayin, tuturuqsiz.",,,,,,,"Adresi yo’q odam bilan jo’ra bo’lgandan keyin ahvoling shu bo’ladida, o’g’lim.",M.Muhamedov,Gavhar
AFLOTUN MIYA,,"bilimdon, juda aqlli, donishmand.",,,,,,,Shuning uchun men seni aflotun miya deyman-da,,
AFSONA BO’LMOQ,kim?,"elxalqqa gap-so’z bo’lmoq, elga doston bo’lmoq.",,,,,,,"Izlab seni har ko’chada, El ichra ko’p sharmanda ham afsona bo’ldim.",,
AFSUS YEMOQ,kim?,"afsuslanmoq, achinmoq, o’kinmoq, pushaymon bo’lmoq.",,,,,,,"Shu o’tirishga borganligimdan afsus yedim, bilmasdan borib qolibman.",Mushtum.,
AFT(I)GA QARAB BO’LMAY-,,"bosh-ko’zi nihoyatda loy, chang-to’zon.",,,,,,,"Gohda terga pishib, gohda changga belanib ketadi. Aftiga qarab bo’lmaydi.",I.Rahim,Hilola
AFT(I)NI YEL YOPSIN,kimning?,qarg’ashni bildiradi (ayollar nutqiga xos).,,,,bet(ing) qursin,,ayollar nutqiga xos,"«…otincham bo’larkan, aftini yel yopsin haromxo’rning», – javob qildi oshpaz ijirg’anib.",R.Fayziy,Cho’lga bahor keldi
AFV ETMOQ (yoki QILMOQ),,"kechirmoq, uzrni qabul qilmoq, gunohidan o’tmoq.",,,,,,,Bu lapashangligimiz uchun rahnamolarimiz bizni avf eturlarmi?,,
AHAMIYAT BERMOQ,kim? nimaga?,"zarur, foydali deb qarab diqqat qilmoq (rasmiy).",,,,,,,"U hali ko’proq boshqa xayollar bilan bosh qotirib, bu tomonlarga ahamiyat bermagan edi. Sizlar hozir masalaning nazariy tomonini olib, amaliy tomoniga uncha ahamiyat bermayapsizlar",P.Qodirov,Uch ildiz
AHD QILISHMOQ,,ayn. ahdlashmoq.,,,,,,,kechqurun Gulnorga borishga vagonchi bilan ahd qilishganligi yodiga tushdi.,,
AHMOQ QILMOQ,kim? kimni?,"laqillatmoq, aldamoq.",,,,,,,"meni yana ahmoq qilmoqchimisiz? Bu nomeringiz o’tmaydi, bizni ham savodimiz chiqib qolgan.",,
AHVOLI TANG,kimning?,juda qiyin ahvolda qolmoq.,,,,,,,Muydin qo’rboshining ahvoli tang. Yigitlari qochib ketdi.,Y.Shukurov,Qasos
AJAB BO’LDI (yoki BO’PTI),,"juda yaxshi bo’ldi, ko’ngildagiday bo’ldi (biror kimsa qilmishiga yarasha jazo olganda aytiladigan ibora).",,,,,,biror kimsa qilmishiga yarasha jazo olganda aytiladigan ibora,"...gazetada chiqqan felyetonni ko’rgan Hafiza.. ajab bo’libdi, dermikan? Yoki achinarmikin?",,
AJAB QILMOQ,kim,boplamoq.,,,,,,,"Mana shunday vaqtlarda til qotib og’izda aylanmay qoladi, mabodo aylansa, mushtning xizmatini qiladi, – Ajab qildim, – dedi Turobjon, – jigarlaring ezilib ketsin. .",,
AJAL HAYDAB KELMOQ,kimni?,tasodifan o’limga duch kelmoq.,,,ajal qistamoq,,,,"Abdusamad hojini ajal haydab kelgan ekan... Juda ko’p tuzoqlardan chiqib ketgan edi, bu gal omadi kelmadi.",H.Shams,Dushman
AJAL TEGMASLIK,kimga,"hech narsa bo’lmaslik, o’lmaslik.",,,,,,,"Bu yerda quzg’unning rizqi oshsa oshadiki, o’ziga ajal tegmaydi.",A.Muxtor,Davr mening taqdirimda
AJAL TO’NINI BICHMOQ,kim? kimga?,"o’ldirishga shaylanmoq, o’limi hozirligini ko’rmoq.",,,,,,,"Ajal to’nin bichib, minganman otga. . Yovga kirmay botir, dushman sanchmaydi, Yov bo’lmayin ajal to’nin bichmaydi.",,
AJAL URUG’INI SEPMOQ,kim?,"qirg’in qilmoq, ko’p odam o’ldirmoq, qiyratmoq.",,,,,,,"Balki ajal urug’ini sepib, bosib yanchib kelayotgan anovi krest tamg’ali tanklardan qo’rqayotgandir?!",S.Anorboyev,Safda
AJAL CHAQIRMOQ,kimni?,o’limga duch kelmoq.,,,,,,,"Umar qamoqxonada bir do’stini izlab sekin borgan edi, qo’lga tushib qoldi. Soqi bosmachi unga «Seni ajal chaqirmasa, bu yerda nima qilarding» – dedi.",Y.Shukurov,Qasos
AJAL(I) YETMOQ,kimning?,"o’lim soati, qazosi yetmoq.",,,,,,,"Qirq yil qirg’in bo’lsa, ajali yetgan o’ladi. Ajal yetsa, jon ayrilar bu tandan. Jallodlar zulmida og’ir kun ko’rdim. Yetmayin ajalim, qutulib qoldim.",,
AJAL(I)DAN BESH KUN BURUN,,"qazo qilishning o’z vaqtisoatidan ilgariroq, bevaqt.",,,,,,,"Qani, bo’ling, daftaringizni tezroq chiqaring, hisobingizni to’g’rilab, tezroq jo’naylik, bo’lmasa bu yerda muzlab qolib, ajalimizdan besh kun burun o’lamiz. O’g’rilar teshib, oldimga chiqqanlarida, men nima qila olar edim. Oh, otajon! Men ajalimdan besh kun burun o’lar edim.",A.Qodiriy,O’tgan kunlar
AJINA CHALMOQ,kimni?,"jin tegib, aqldan ozdirmoq.",,,"jin chalmoq, jin tegmoq",,,,"Falonchi odam yong’oq tagida uxlab yotgan ekan, ajina chalib ketibdi.",,
AJRIQQA AG’NAGANDAY,kim?,"notinch, bezovta holda azob chekib (yotmoq).",,,,,,,O’sha kuni tuni bilan ajriqqa ag’anagandek uxlolmapti.,,
AKASI BO’YIDAN,,"erkaklar nutqida qo’llanib, modal ma’no ifodalaydi.",,,,,,,"Ishlovni kuchaytirmasak, akasi bo’yidan, grafikni bajarish dumi xo’rjun bo’lgudek",,
AKSIGA OLMOQ (YURMOQ),,"xohish-istakka yoki buyruqqa qarshi ish tutmoq, kesma-kesarlik qilmoq.",1,,,,,,,,
AKSIGA OLMOQ (YURMOQ),,xohish-istakka qarshi yuz bermoq.,2,,,,,,"Aksiga olib, yomg’ir yog’di.",,
ALAM KETMOQ,,[alam ket ] tar.,,,,,,,"Bir yera azm etib alam ketti, Kelibon pardaga itob etti.",S.Saroyi,Gulistoni bit-turkiy
